	    0.01	0.05	0.1	    0.15	0.2	    0.25	0.3	    0.35	0.4	    0.45	0.5
0.05	0.51	0.50	0.50	0.50	0.50	0.50	0.49	0.49	0.50	0.49	0.50
0.10	0.51	0.51	0.50	0.49	0.49	0.49	0.51	0.50	0.49	0.50	0.49
0.15	0.50	0.50	0.49	0.49	0.49	0.50	0.50	0.50	0.50	0.50	0.50
0.20	0.51	0.50	0.51	0.51	0.50	0.51	0.50	0.49	0.49	0.50	0.50
0.25	0.49	0.50	0.50	0.50	0.50	0.49	0.50	0.51	0.50	0.51	0.49
0.30	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.51	0.49	0.51
0.35	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50
0.40	0.51	0.50	0.51	0.50	0.50	0.50	0.51	0.51	0.50	0.50	0.51
0.45	0.49	0.50	0.50	0.50	0.49	0.50	0.50	0.50	0.50	0.51	0.50
0.50	0.50	0.51	0.51	0.49	0.50	0.50	0.50	0.51	0.51	0.50	0.50
0.55	0.50	0.50	0.50	0.50	0.50	0.50	0.49	0.50	0.50	0.50	0.50
0.60	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.49	0.50
0.65	0.50	0.50	0.50	0.50	0.50	0.50	0.51	0.50	0.50	0.50	0.50
0.70	0.49	0.50	0.50	0.50	0.51	0.50	0.50	0.51	0.50	0.50	0.50
0.75	0.49	0.50	0.51	0.50	0.50	0.51	0.49	0.50	0.51	0.49	0.50
0.80	0.50	0.50	0.50	0.50	0.49	0.50	0.51	0.49	0.50	0.50	0.50
0.85	0.50	0.50	0.50	0.50	0.49	0.50	0.50	0.50	0.50	0.49	0.51
0.90	0.49	0.49	0.50	0.50	0.50	0.51	0.50	0.51	0.50	0.50	0.50
0.95	0.50	0.50	0.51	0.49	0.50	0.51	0.50	0.49	0.49	0.51	0.50
